,Movie Title,Year,Content Rating,Budget,Gross_Income,Director,IMDB Score
853,Disclosure ,1994,R,"$55,000,000.00","$83,000,000.00",Barry Levinson,6.0
855,Kill Bill: Vol. 1 ,2003,R,"$30,000,000.00","$70,098,138.00",Quentin Tarantino,8.1
856,Bowfinger ,1999,PG-13,"$55,000,000.00","$66,365,290.00",Frank Oz,6.4
858,Kill Bill: Vol. 2 ,2004,R,"$30,000,000.00","$66,207,920.00",Quentin Tarantino,8.0
859,Tango & Cash ,1989,R,"$55,000,000.00","$63,408,614.00",Andrey Konchalovskiy,6.3
860,Death Becomes Her ,1992,PG-13,"$55,000,000.00","$58,422,650.00",Robert Zemeckis,6.4
861,Shanghai Noon ,2000,PG-13,"$55,000,000.00","$56,932,305.00",Tom Dey,6.6
862,Executive Decision ,1996,R,"$55,000,000.00","$68,750,000.00",Stuart Baird,6.4
863,Mr. Popper's Penguins ,2011,PG,"$55,000,000.00","$68,218,041.00",Mark Waters,6.0
864,The Forbidden Kingdom ,2008,PG-13,"$55,000,000.00","$25,040,293.00",Rob Minkoff,6.6
865,Free Birds ,2013,PG,"$55,000,000.00","$55,747,724.00",Jimmy Hayward,5.9
866,Alien 3 ,1992,R,"$50,000,000.00","$55,473,600.00",David Fincher,6.4
867,Evita ,1996,PG,"$55,000,000.00","$49,994,804.00",Alan Parker,6.3
869,The Ghost and the Darkness ,1996,R,"$55,000,000.00","$38,553,833.00",Stephen Hopkins,6.8
871,The Watch ,2012,R,"$68,000,000.00","$34,350,553.00",Akiva Schaffer,5.7
872,The Hunted ,2003,R,"$55,000,000.00","$34,238,611.00",William Friedkin,6.0
873,Instinct ,1999,R,"$55,000,000.00","$34,098,563.00",Jon Turteltaub,6.5
874,Stuck on You ,2003,PG-13,"$55,000,000.00","$33,828,318.00",Bobby Farrelly,5.8
875,Semi-Pro ,2008,R,"$55,000,000.00","$33,472,850.00",Kent Alterman,5.8
877,Changeling ,2008,R,"$55,000,000.00","$35,707,327.00",Clint Eastwood,7.8
878,Chain Reaction ,1996,PG-13,"$50,000,000.00","$20,550,712.00",Andrew Davis,5.6
879,The Fan ,1996,R,"$55,000,000.00","$18,573,791.00",Tony Scott,5.8
882,Æon Flux ,2005,PG-13,"$62,000,000.00","$25,857,987.00",Karyn Kusama,5.5
883,Gods and Generals ,2003,PG-13,"$56,000,000.00","$12,870,569.00",Ron Maxwell,6.3
884,Turbulence ,1997,R,"$71,000,000.00","$11,466,088.00",Robert Butler,4.7
885,Imagine That ,2009,PG,"$55,000,000.00","$16,088,610.00",Karey Kirkpatrick,5.6
886,Muppets Most Wanted ,2014,PG,"$50,000,000.00","$51,178,893.00",James Bobin,6.4
888,Burlesque ,2010,PG-13,"$55,000,000.00","$39,440,655.00",Steve Antin,6.4
892,Blade II ,2002,R,"$54,000,000.00","$81,645,152.00",Guillermo del Toro,6.7
893,Seven Pounds ,2008,PG-13,"$55,000,000.00","$69,951,824.00",Gabriele Muccino,7.7
894,Bullet to the Head ,2012,R,"$55,000,000.00","$9,483,821.00",Walter Hill,5.7
895,The Godfather: Part III ,1990,R,"$54,000,000.00","$66,676,062.00",Francis Ford Coppola,7.6
896,Elizabethtown ,2005,PG-13,"$57,000,000.00","$26,838,389.00",Cameron Crowe,6.4
897,"You, Me and Dupree ",2006,PG-13,"$54,000,000.00","$75,604,320.00",Anthony Russo,5.6
898,Superman II ,1980,PG,"$54,000,000.00","$108,200,000.00",Richard Lester,6.8
899,Gigli ,2003,R,"$54,000,000.00","$5,660,084.00",Martin Brest,2.4
902,Anastasia ,1997,G,"$50,000,000.00","$58,297,830.00",Don Bluth,7.1
903,Moulin Rouge! ,2001,PG-13,"$52,500,000.00","$57,386,369.00",Baz Luhrmann,7.6
904,Domestic Disturbance ,2001,PG-13,"$53,000,000.00","$45,207,112.00",Harold Becker,5.5
905,Black Mass ,2015,R,"$53,000,000.00","$62,563,543.00",Scott Cooper,7.0
906,Flags of Our Fathers ,2006,R,"$90,000,000.00","$33,574,332.00",Clint Eastwood,7.1
907,Law Abiding Citizen ,2009,R,"$50,000,000.00","$73,343,413.00",F. Gary Gray,7.4
908,Grindhouse ,2007,R,"$53,000,000.00","$25,031,037.00",Robert Rodriguez,7.6
909,Beloved ,1998,R,"$55,000,000.00","$22,843,047.00",Jonathan Demme,5.9
910,Lucky You ,2007,PG-13,"$55,000,000.00","$5,755,286.00",Curtis Hanson,5.9
911,Catch Me If You Can ,2002,PG-13,"$52,000,000.00","$164,435,221.00",Steven Spielberg,8.0
912,Zero Dark Thirty ,2012,R,"$40,000,000.00","$95,720,716.00",Kathryn Bigelow,7.4
913,The Break-Up ,2006,PG-13,"$52,000,000.00","$118,683,135.00",Peyton Reed,5.8
914,Mamma Mia! ,2008,PG-13,"$52,000,000.00","$143,704,210.00",Phyllida Lloyd,6.3
915,Valentine's Day ,2010,PG-13,"$52,000,000.00","$110,476,776.00",Garry Marshall,5.7
916,The Dukes of Hazzard ,2005,PG-13,"$50,000,000.00","$80,270,227.00",Jay Chandrasekhar,5.1
917,The Thin Red Line ,1998,R,"$52,000,000.00","$36,385,763.00",Terrence Malick,7.6
918,The Change-Up ,2011,R,"$52,000,000.00","$37,035,845.00",David Dobkin,6.4
920,Casino ,1995,R,"$52,000,000.00","$42,438,300.00",Martin Scorsese,8.2
922,Bulletproof Monk ,2003,PG-13,"$52,000,000.00","$23,020,488.00",Paul Hunter,5.5
923,"Me, Myself & Irene ",2000,R,"$51,000,000.00","$90,567,722.00",Bobby Farrelly,6.5
926,The Twilight Saga: New Moon ,2009,PG-13,"$50,000,000.00","$296,623,634.00",Chris Weitz,4.6
927,Shrek ,2001,PG,"$60,000,000.00","$267,652,016.00",Andrew Adamson,7.9
928,The Adjustment Bureau ,2011,PG-13,"$50,200,000.00","$62,453,315.00",George Nolfi,7.1
929,Robin Hood: Prince of Thieves ,1991,PG-13,"$48,000,000.00","$165,500,000.00",Kevin Reynolds,6.9
930,Jerry Maguire ,1996,R,"$50,000,000.00","$153,620,822.00",Cameron Crowe,7.3
931,Ted ,2012,R,"$50,000,000.00","$218,628,680.00",Seth MacFarlane,7.0
932,As Good as It Gets ,1997,PG-13,"$50,000,000.00","$147,637,474.00",James L. Brooks,7.7
933,Patch Adams ,1998,PG-13,"$50,000,000.00","$135,014,968.00",Tom Shadyac,6.7
934,Anchorman 2: The Legend Continues ,2013,PG-13,"$50,000,000.00","$2,175,312.00",Adam McKay,6.3
935,Mr. Deeds ,2002,PG-13,"$50,000,000.00","$126,203,320.00",Steven Brill,5.8
936,Super 8 ,2011,PG-13,"$50,000,000.00","$126,975,169.00",J.J. Abrams,7.1
937,Erin Brockovich ,2000,R,"$52,000,000.00","$125,548,685.00",Steven Soderbergh,7.3
938,How to Lose a Guy in 10 Days ,2003,PG-13,"$50,000,000.00","$105,807,520.00",Donald Petrie,6.4
939,22 Jump Street ,2014,R,"$50,000,000.00","$191,616,238.00",Phil Lord,7.1
940,Interview with the Vampire: The Vampire Chronicles ,1994,R,"$60,000,000.00","$105,264,608.00",Neil Jordan,7.6
941,Yes Man ,2008,PG-13,"$70,000,000.00","$97,680,195.00",Peyton Reed,6.8
942,Central Intelligence ,2016,PG-13,"$50,000,000.00","$126,088,877.00",Rawson Marshall Thurber,6.6
943,Stepmom ,1998,PG-13,"$50,000,000.00","$91,030,827.00",Chris Columbus,6.7
944,Daddy's Home ,2015,PG-13,"$50,000,000.00","$150,315,155.00",Sean Anders,6.1
945,Into the Woods ,2014,PG,"$50,000,000.00","$127,997,349.00",Rob Marshall,6.0
946,Inside Man ,2006,R,"$45,000,000.00","$88,504,640.00",Spike Lee,7.6
947,Payback ,1999,R,"$50,000,000.00","$81,517,441.00",Brian Helgeland,7.1
948,Congo ,1995,PG-13,"$50,000,000.00","$81,022,333.00",Frank Marshall,5.0
950,Knowing ,2009,PG-13,"$50,000,000.00","$79,948,113.00",Alex Proyas,6.2
951,Failure to Launch ,2006,PG-13,"$50,000,000.00","$88,658,172.00",Tom Dey,5.6
953,"Crazy, Stupid, Love. ",2011,PG-13,"$50,000,000.00","$84,244,877.00",Glenn Ficarra,7.4
954,Garfield ,2004,PG,"$35,000,000.00","$75,367,693.00",Peter Hewitt,5.0
955,Christmas with the Kranks ,2004,PG,"$60,000,000.00","$73,701,902.00",Joe Roth,5.2
956,Moneyball ,2011,PG-13,"$50,000,000.00","$75,605,492.00",Bennett Miller,7.6
957,Outbreak ,1995,R,"$50,000,000.00","$67,823,573.00",Wolfgang Petersen,6.6
959,Race to Witch Mountain ,2009,PG,"$65,000,000.00","$67,128,202.00",Andy Fickman,5.7
960,V for Vendetta ,2005,R,"$54,000,000.00","$70,496,802.00",James McTeigue,8.2
961,Shanghai Knights ,2003,PG-13,"$50,000,000.00","$60,470,220.00",David Dobkin,6.2
963,Curious George ,2006,G,"$50,000,000.00","$58,336,565.00",Matthew O'Callaghan,6.6
964,Herbie Fully Loaded ,2005,G,"$50,000,000.00","$66,002,004.00",Angela Robinson,4.7
965,Don't Say a Word ,2001,R,"$50,000,000.00","$54,997,476.00",Gary Fleder,6.3
967,Unfaithful ,2002,R,"$50,000,000.00","$52,752,475.00",Adrian Lyne,6.7
968,I Am Number Four ,2011,PG-13,"$60,000,000.00","$55,092,830.00",D.J. Caruso,6.1
969,Syriana ,2005,R,"$50,000,000.00","$50,815,288.00",Stephen Gaghan,7.0
970,13 Hours ,2016,R,"$50,000,000.00","$52,822,418.00",Michael Bay,7.4
971,The Book of Life ,2014,PG,"$50,000,000.00","$50,150,619.00",Jorge R. Gutiérrez,7.3
972,Firewall ,2006,PG-13,"$50,000,000.00","$48,745,150.00",Richard Loncraine,5.8
973,Absolute Power ,1997,R,"$50,000,000.00","$50,007,168.00",Clint Eastwood,6.7
974,G.I. Jane ,1997,R,"$50,000,000.00","$48,154,732.00",Ridley Scott,5.8
975,The Game ,1997,R,"$50,000,000.00","$48,265,581.00",David Fincher,7.8
977,The Replacements ,2000,PG-13,"$50,000,000.00","$44,737,059.00",Howard Deutch,6.5
978,American Reunion ,2012,R,"$50,000,000.00","$56,724,080.00",Jon Hurwitz,6.7
980,Into the Storm ,2014,PG-13,"$50,000,000.00","$47,553,512.00",Steven Quale,5.8
981,Beverly Hills Cop III ,1994,R,"$55,000,000.00","$42,610,000.00",John Landis,5.5
982,Gremlins 2: The New Batch ,1990,PG-13,"$50,000,000.00","$41,482,207.00",Joe Dante,6.3
983,The Judge ,2014,R,"$50,000,000.00","$47,105,085.00",David Dobkin,7.4
984,The Peacemaker ,1997,R,"$50,000,000.00","$41,256,277.00",Mimi Leder,5.9
987,Out of Time ,2003,R,"$50,000,000.00","$40,905,277.00",Carl Franklin,6.5
988,On Deadly Ground ,1994,R,"$50,000,000.00","$38,590,500.00",Steven Seagal,4.4
989,The Adventures of Sharkboy and Lavagirl 3-D ,2005,PG,"$50,000,000.00","$39,177,541.00",Robert Rodriguez,3.5
990,The Beach ,2000,R,"$50,000,000.00","$39,778,599.00",Danny Boyle,6.6
991,Raising Helen ,2004,PG-13,"$50,000,000.00","$37,486,138.00",Garry Marshall,6.0
992,Ninja Assassin ,2009,R,"$40,000,000.00","$38,105,077.00",James McTeigue,6.4
993,For Love of the Game ,1999,PG-13,"$50,000,000.00","$35,168,395.00",Sam Raimi,6.5
995,Striptease ,1996,R,"$40,000,000.00","$32,800,000.00",Andrew Bergman,4.3
996,Marmaduke ,2010,PG,"$50,000,000.00","$33,643,461.00",Tom Dey,4.2
997,Hereafter ,2010,PG-13,"$50,000,000.00","$32,741,596.00",Clint Eastwood,6.5
998,Murder by Numbers ,2002,R,"$50,000,000.00","$31,874,869.00",Barbet Schroeder,6.1
1001,The Story of Us ,1999,R,"$50,000,000.00","$27,067,160.00",Rob Reiner,5.9
1002,The Host ,2013,PG-13,"$40,000,000.00","$26,616,999.00",Andrew Niccol,5.9
1004,Blood Work ,2002,R,"$50,000,000.00","$26,199,517.00",Clint Eastwood,6.4
1005,The International ,2009,R,"$50,000,000.00","$25,450,527.00",Tom Tykwer,6.5
1006,Escape from L.A. ,1996,R,"$50,000,000.00","$25,407,250.00",John Carpenter,5.7
1008,The Iron Giant ,1999,PG,"$70,000,000.00","$23,159,305.00",Brad Bird,8.0
1009,The Life Aquatic with Steve Zissou ,2004,R,"$50,000,000.00","$24,006,726.00",Wes Anderson,7.3
1010,Free State of Jones ,2016,R,"$50,000,000.00","$20,389,967.00",Gary Ross,6.7
1011,The Life of David Gale ,2003,R,"$50,000,000.00","$19,593,740.00",Alan Parker,7.5
1012,Man of the House ,2005,PG-13,"$40,000,000.00","$19,118,247.00",Stephen Herek,5.4
1013,Run All Night ,2015,R,"$50,000,000.00","$26,442,251.00",Jaume Collet-Serra,6.6
1014,Eastern Promises ,2007,R,"$25,000,000.00","$17,114,882.00",David Cronenberg,7.7
1015,Into the Blue ,2005,PG-13,"$50,000,000.00","$18,472,363.00",John Stockwell,5.8
1017,Your Highness ,2011,R,"$49,900,000.00","$21,557,240.00",David Gordon Green,5.6
1018,Dream House ,2011,PG-13,"$55,000,000.00","$21,283,440.00",Jim Sheridan,6.0
1019,Mad City ,1997,PG-13,"$50,000,000.00","$10,556,196.00",Costa-Gavras,6.2
1020,Baby's Day Out ,1994,PG,"$50,000,000.00","$16,671,505.00",Patrick Read Johnson,5.9
1021,The Scarlet Letter ,1995,R,"$50,000,000.00","$10,400,000.00",Roland Joffé,5.1
1022,Fair Game ,2010,PG-13,"$22,000,000.00","$9,528,092.00",Doug Liman,6.8
1025,Jade ,1995,R,"$50,000,000.00","$9,795,017.00",William Friedkin,5.1
1026,Gamer ,2009,R,"$50,000,000.00","$20,488,579.00",Mark Neveldine,5.8
1027,Beautiful Creatures ,2013,PG-13,"$60,000,000.00","$19,445,217.00",Richard LaGravenese,6.2
1029,Zoolander 2 ,2016,PG-13,"$50,000,000.00","$28,837,115.00",Ben Stiller,4.8
1030,The Big Bounce ,2004,PG-13,"$50,000,000.00","$6,471,394.00",George Armitage,4.9
1031,What Planet Are You From? ,2000,R,"$50,000,000.00","$6,291,602.00",Mike Nichols,5.6
1032,Drive Angry ,2011,R,"$50,000,000.00","$10,706,786.00",Patrick Lussier,5.5
1034,The One ,2001,PG-13,"$49,000,000.00","$43,905,746.00",James Wong,5.9
1036,The Adventures of Ford Fairlane ,1990,R,"$40,000,000.00","$21,413,502.00",Renny Harlin,6.3
1038,Traffic ,2000,R,"$48,000,000.00","$124,107,476.00",Steven Soderbergh,7.6
1039,Indiana Jones and the Last Crusade ,1989,PG-13,"$48,000,000.00","$197,171,806.00",Steven Spielberg,8.3
1041,Chappie ,2015,R,"$49,000,000.00","$31,569,268.00",Neill Blomkamp,6.9
1042,The Bone Collector ,1999,R,"$48,000,000.00","$66,488,090.00",Phillip Noyce,6.7
1043,Panic Room ,2002,R,"$48,000,000.00","$95,308,367.00",David Fincher,6.8
1045,Three Kings ,1999,R,"$48,000,000.00","$60,652,036.00",David O. Russell,7.1
1048,K-PAX ,2001,PG-13,"$48,000,000.00","$50,173,190.00",Iain Softley,7.4
1049,Kate & Leopold ,2001,PG-13,"$48,000,000.00","$47,095,453.00",James Mangold,6.4
1050,Bedazzled ,2000,PG-13,"$48,000,000.00","$37,879,996.00",Harold Ramis,6.0
1051,The Cotton Club ,1984,R,"$58,000,000.00","$25,900,000.00",Francis Ford Coppola,6.5
1052,3:10 to Yuma ,2007,R,"$55,000,000.00","$53,574,088.00",James Mangold,7.8
1054,Out of Sight ,1998,R,"$48,000,000.00","$37,339,525.00",Steven Soderbergh,7.0
1055,The Cable Guy ,1996,PG-13,"$47,000,000.00","$60,154,431.00",Ben Stiller,6.0
1057,Dick Tracy ,1990,PG,"$100,000,000.00","$103,738,726.00",Warren Beatty,6.1
1058,The Thomas Crown Affair ,1999,R,"$48,000,000.00","$69,304,264.00",John McTiernan,6.8
1059,Riding in Cars with Boys ,2001,PG-13,"$48,000,000.00","$29,781,453.00",Penny Marshall,6.4
1062,Happily N'Ever After ,2006,PG,"$47,000,000.00","$15,519,841.00",Paul Bolger,4.5
1063,Mary Reilly ,1996,R,"$47,000,000.00","$5,600,000.00",Stephen Frears,5.8
1064,My Best Friend's Wedding ,1997,PG-13,"$46,000,000.00","$126,805,112.00",P.J. Hogan,6.3
1065,America's Sweethearts ,2001,PG-13,"$48,000,000.00","$93,607,673.00",Joe Roth,5.7
1066,Insomnia ,2002,R,"$46,000,000.00","$67,263,182.00",Christopher Nolan,7.2
1067,Star Trek: First Contact ,1996,PG-13,"$45,000,000.00","$92,001,027.00",Jonathan Frakes,7.6
1068,Jonah Hex ,2010,PG-13,"$47,000,000.00","$10,539,414.00",Jimmy Hayward,4.7
1069,Courage Under Fire ,1996,R,"$46,000,000.00","$58,918,501.00",Edward Zwick,6.6
1070,Liar Liar ,1997,PG-13,"$45,000,000.00","$181,395,380.00",Tom Shadyac,6.8
1073,The Flintstones ,1994,PG,"$45,000,000.00","$130,512,915.00",Brian Levant,4.8
1075,Scary Movie 3 ,2003,PG-13,"$48,000,000.00","$110,000,082.00",David Zucker,5.5
1076,Miss Congeniality ,2000,PG-13,"$45,000,000.00","$106,807,667.00",Donald Petrie,6.2
1077,Journey to the Center of the Earth ,2008,PG,"$45,000,000.00","$101,702,060.00",Eric Brevig,5.8
1078,The Princess Diaries 2: Royal Engagement ,2004,G,"$40,000,000.00","$95,149,435.00",Garry Marshall,5.7
1079,The Pelican Brief ,1993,PG-13,"$45,000,000.00","$100,768,056.00",Alan J. Pakula,6.5
1080,The Client ,1994,PG-13,"$45,000,000.00","$92,115,211.00",Joel Schumacher,6.7
1081,The Bucket List ,2007,PG-13,"$45,000,000.00","$93,452,056.00",Rob Reiner,7.4
1082,Patriot Games ,1992,R,"$45,000,000.00","$83,287,363.00",Phillip Noyce,6.9
1084,Prisoners ,2013,R,"$46,000,000.00","$60,962,878.00",Denis Villeneuve,8.1
1085,Training Day ,2001,R,"$45,000,000.00","$76,261,036.00",Antoine Fuqua,7.7
1086,Galaxy Quest ,1999,PG,"$45,000,000.00","$71,423,726.00",Dean Parisot,7.3
1087,Scary Movie 2 ,2001,R,"$45,000,000.00","$71,277,420.00",Keenen Ivory Wayans,5.2
1088,The Muppets ,2011,PG,"$45,000,000.00","$88,625,922.00",James Bobin,7.1
1089,Blade ,1998,R,"$45,000,000.00","$70,001,065.00",Stephen Norrington,7.1
1090,Coach Carter ,2005,PG-13,"$30,000,000.00","$67,253,092.00",Thomas Carter,7.2
1091,Changing Lanes ,2002,R,"$45,000,000.00","$66,790,248.00",Roger Michell,6.5
1092,Anaconda ,1997,PG-13,"$45,000,000.00","$65,557,989.00",Luis Llosa,4.6
1093,Coyote Ugly ,2000,PG-13,"$45,000,000.00","$60,786,269.00",David McNally,5.6
1095,A Bug's Life ,1998,G,"$120,000,000.00","$162,792,677.00",John Lasseter,7.2
1096,From Hell ,2001,R,"$35,000,000.00","$31,598,308.00",Albert Hughes,6.8
1098,Tin Cup ,1996,R,"$45,000,000.00","$53,854,588.00",Ron Shelton,6.3
1100,Kicking & Screaming ,2005,PG,"$45,000,000.00","$52,580,895.00",Jesse Dylan,5.6
1101,The Hitchhiker's Guide to the Galaxy ,2005,PG,"$50,000,000.00","$51,019,112.00",Garth Jennings,6.8
1102,Fat Albert ,2004,PG,"$26,000,000.00","$48,114,556.00",Joel Zwick,4.3
1104,Blended ,2014,PG-13,"$40,000,000.00","$46,280,507.00",Frank Coraci,6.5
1105,Last Holiday ,2006,PG-13,"$45,000,000.00","$38,360,195.00",Wayne Wang,6.4
1106,The River Wild ,1994,PG-13,"$45,000,000.00","$46,815,748.00",Curtis Hanson,6.3
1107,The Indian in the Cupboard ,1995,PG,"$45,000,000.00","$35,617,599.00",Frank Oz,5.9
1108,Savages ,2012,R,"$45,000,000.00","$47,307,550.00",Oliver Stone,6.5
1109,Cellular ,2004,PG-13,"$25,000,000.00","$32,003,620.00",David R. Ellis,6.5
1111,The Ant Bully ,2006,PG,"$50,000,000.00","$28,133,159.00",John A. Davis,5.9
1112,Dune ,1984,PG-13,"$40,000,000.00","$27,400,000.00",David Lynch,6.6
1113,Across the Universe ,2007,PG-13,"$45,000,000.00","$24,343,673.00",Julie Taymor,7.4
1114,Revolutionary Road ,2008,R,"$35,000,000.00","$22,877,808.00",Sam Mendes,7.3
1117,The Glimmer Man ,1996,R,"$45,000,000.00","$20,400,913.00",John Gray,5.3
1118,Multiplicity ,1996,PG-13,"$45,000,000.00","$20,101,861.00",Harold Ramis,6.0
1119,Aliens in the Attic ,2009,PG,"$45,000,000.00","$25,200,412.00",John Schultz,5.4
1120,The Pledge ,2001,R,"$45,000,000.00","$19,719,930.00",Sean Penn,6.8
1121,The Producers ,2005,PG-13,"$45,000,000.00","$19,377,727.00",Susan Stroman,6.4
1124,All the Pretty Horses ,2000,PG-13,"$57,000,000.00","$15,527,125.00",Billy Bob Thornton,5.8
1125,Nixon ,1995,R,"$50,000,000.00","$13,560,960.00",Oliver Stone,7.1
1127,Deep Rising ,1998,R,"$45,000,000.00","$11,146,409.00",Stephen Sommers,6.0
1128,Miracle at St. Anna ,2008,R,"$45,000,000.00","$7,916,887.00",Spike Lee,6.0
1130,Bangkok Dangerous ,2008,R,"$40,000,000.00","$15,279,680.00",Danny Pang,5.4
1131,Big Trouble ,2002,PG-13,"$40,000,000.00","$7,262,288.00",Barry Sonnenfeld,6.5
1132,Love in the Time of Cholera ,2007,R,"$45,000,000.00","$4,584,886.00",Mike Newell,6.4
1134,Shadow Conspiracy ,1997,R,"$45,000,000.00","$2,154,540.00",George P. Cosmatos,4.9
1135,Johnny English Reborn ,2011,PG,"$45,000,000.00","$8,129,455.00",Oliver Parker,6.3
1137,Argo ,2012,R,"$44,500,000.00","$136,019,448.00",Ben Affleck,7.7
1138,The Fugitive ,1993,PG-13,"$44,000,000.00","$183,875,760.00",Andrew Davis,7.8
1139,The Bounty Hunter ,2010,PG-13,"$40,000,000.00","$67,061,228.00",Andy Tennant,5.5
1140,Sleepers ,1996,R,"$44,000,000.00","$53,300,852.00",Barry Levinson,7.5
1141,Rambo: First Blood Part II ,1985,R,"$44,000,000.00","$150,415,432.00",George P. Cosmatos,6.4
1142,The Juror ,1996,R,"$44,000,000.00","$44,834,712.00",Brian Gibson,5.6
1143,Pinocchio ,1940,Approved,"$2,600,000.00","$84,300,000.00",Norman Ferguson,7.5
1144,Heaven's Gate ,1980,R,"$44,000,000.00","$1,500,000.00",Michael Cimino,6.8
1145,Underworld: Evolution ,2006,R,"$50,000,000.00","$62,318,875.00",Len Wiseman,6.8
1146,Victor Frankenstein ,2015,PG-13,"$40,000,000.00","$5,773,519.00",Paul McGuigan,6.0
1147,Finding Forrester ,2000,PG-13,"$43,000,000.00","$51,768,623.00",Gus Van Sant,7.3
1148,28 Days ,2000,PG-13,"$43,000,000.00","$37,035,515.00",Betty Thomas,6.0
1150,The Sweetest Thing ,2002,R,"$43,000,000.00","$24,430,272.00",Roger Kumble,5.1
1151,The Firm ,1993,R,"$42,000,000.00","$158,348,400.00",Sydney Pollack,6.8
1152,Charlie St. Cloud ,2010,PG-13,"$44,000,000.00","$31,136,950.00",Burr Steers,6.5
1153,The Mechanic ,2011,R,"$40,000,000.00","$29,113,588.00",Simon West,6.6
1154,21 Jump Street ,2012,R,"$42,000,000.00","$138,447,667.00",Phil Lord,7.2
1157,Along Came Polly ,2004,PG-13,"$42,000,000.00","$87,856,565.00",John Hamburg,5.9
1158,Boomerang ,1992,R,"$40,000,000.00","$70,100,000.00",Reginald Hudlin,5.4
1159,The Heat ,2013,R,"$43,000,000.00","$159,578,352.00",Paul Feig,6.6
1161,Here Comes the Boom ,2012,PG,"$42,000,000.00","$45,290,318.00",Frank Coraci,6.5
1162,High Crimes ,2002,PG-13,"$42,000,000.00","$41,543,207.00",Carl Franklin,6.3
1163,The Mirror Has Two Faces ,1996,PG-13,"$42,000,000.00","$41,252,428.00",Barbra Streisand,6.5
1164,The Mothman Prophecies ,2002,PG-13,"$32,000,000.00","$35,228,696.00",Mark Pellington,6.5
1165,Brüno ,2009,R,"$42,000,000.00","$59,992,760.00",Larry Charles,5.8
1167,Red Riding Hood ,2011,PG-13,"$42,000,000.00","$37,652,565.00",Catherine Hardwicke,5.4
1168,15 Minutes ,2001,R,"$42,000,000.00","$24,375,436.00",John Herzfeld,6.1
1170,Lord of War ,2005,R,"$50,000,000.00","$24,127,895.00",Andrew Niccol,7.6
1172,One for the Money ,2012,PG-13,"$40,000,000.00","$26,404,753.00",Julie Anne Robinson,5.3
1173,The Interview ,2014,R,"$44,000,000.00","$6,105,175.00",Evan Goldberg,6.6
1177,8 Mile ,2002,R,"$41,000,000.00","$116,724,075.00",Curtis Hanson,7.0
1179,A Knight's Tale ,2001,PG-13,"$65,000,000.00","$56,083,966.00",Brian Helgeland,6.9
1181,The Sixth Sense ,1999,PG-13,"$40,000,000.00","$293,501,675.00",M. Night Shyamalan,8.1
1182,Man on a Ledge ,2012,PG-13,"$42,000,000.00","$18,600,911.00",Asger Leth,6.6
1183,The Big Year ,2011,PG,"$41,000,000.00","$7,204,138.00",David Frankel,6.2
1184,The Karate Kid ,1984,PG,"$8,000,000.00","$90,800,000.00",John G. Avildsen,7.2
1185,American Hustle ,2013,R,"$40,000,000.00","$150,117,807.00",David O. Russell,7.3
1186,The Proposal ,2009,PG-13,"$40,000,000.00","$163,947,053.00",Anne Fletcher,6.7
1187,Double Jeopardy ,1999,R,"$70,000,000.00","$116,735,231.00",Bruce Beresford,6.4
1188,Back to the Future Part II ,1989,PG,"$40,000,000.00","$118,500,000.00",Robert Zemeckis,7.8
1190,Fifty Shades of Grey ,2015,R,"$40,000,000.00","$166,147,885.00",Sam Taylor-Johnson,4.1
1191,Spy Kids 3-D: Game Over ,2003,PG,"$38,000,000.00","$111,760,631.00",Robert Rodriguez,4.1
1192,A Time to Kill ,1996,R,"$40,000,000.00","$108,706,165.00",Joel Schumacher,7.4
1193,Cheaper by the Dozen ,2003,PG,"$40,000,000.00","$138,614,544.00",Shawn Levy,5.8
1194,Lone Survivor ,2013,R,"$40,000,000.00","$125,069,696.00",Peter Berg,7.6
1195,A League of Their Own ,1992,PG,"$40,000,000.00","$107,458,785.00",Penny Marshall,7.2
1196,The Conjuring 2 ,2016,R,"$40,000,000.00","$102,310,175.00",James Wan,7.8
1197,The Social Network ,2010,PG-13,"$40,000,000.00","$96,917,897.00",David Fincher,7.7
1198,He's Just Not That Into You ,2009,PG-13,"$40,000,000.00","$93,952,276.00",Ken Kwapis,6.4
1199,Scary Movie 4 ,2006,PG-13,"$45,000,000.00","$90,703,745.00",David Zucker,5.1
1200,Scream 3 ,2000,R,"$40,000,000.00","$89,138,076.00",Wes Craven,5.5
1201,Back to the Future Part III ,1990,PG,"$40,000,000.00","$87,666,629.00",Robert Zemeckis,7.4
1202,Get Hard ,2015,R,"$40,000,000.00","$90,353,764.00",Etan Cohen,6.0
1203,Bram Stoker's Dracula ,1992,R,"$40,000,000.00","$82,522,790.00",Francis Ford Coppola,7.5
1204,Julie & Julia ,2009,PG-13,"$40,000,000.00","$94,125,426.00",Nora Ephron,7.0
1205,42 ,2013,PG-13,"$40,000,000.00","$95,001,343.00",Brian Helgeland,7.5
1206,The Talented Mr. Ripley ,1999,R,"$40,000,000.00","$81,292,135.00",Anthony Minghella,7.3
1207,Dumb and Dumber To ,2014,PG-13,"$35,000,000.00","$86,208,010.00",Bobby Farrelly,5.7
1208,Eight Below ,2006,PG,"$40,000,000.00","$81,593,527.00",Frank Marshall,7.3
1209,The Intern ,2015,PG-13,"$35,000,000.00","$75,274,748.00",Nancy Meyers,7.2
1210,Ride Along 2 ,2016,PG-13,"$40,000,000.00","$90,835,030.00",Tim Story,5.9
